Row Labels,Sum of Number of establishments,Sum of Paid employees for pay period including March 12 (number),"Sum of Annual payroll ($1,000)"
"Professional, scientific, and technical services",67540,667671,46296513
Real estate and rental and leasing,28564,169810,8141742
Retail trade,62433,879305,24138465
Transportation and warehousing,12963,269419,11558991
Utilities,684,1034,85158
Wholesale trade,40856,494305,29220231
2011,,,
Total for all sectors,513305,7602011,360986426
Accommodation and food services,43535,810367,14911974
Administrative and support and waste management and remediation services,24233,567345,18095652
"Agriculture, forestry, fishing and hunting",628,10474,314556
"Arts, entertainment, and recreation",15596,184352,9950293
Construction,35334,328094,16454936
Educational services,7003,222732,7548901
Finance and insurance,28754,340570,28913670
Health care and social assistance,61263,999143,48173628
Industries not classified,1240,234,27150
Information,13662,289394,23494750
Management of companies and enterprises,2788,151648,14065956
Manufacturing,24937,740589,40035799
"Mining, quarrying, and oil and gas extraction",533,12634,1189478
Other services (except public administration),40160,321817,8871116
"Professional, scientific, and technical services",68029,733183,48728606
Real estate and rental and leasing,28620,173497,8353688
Retail trade,62655,905793,25074953
Transportation and warehousing,13167,277231,12306893
Utilities,708,7073,726094
Wholesale trade,40460,492552,30999331
2012,,,
Total for all sectors,523685,7725122,377398777
Accommodation and food services,44677,839522,15569130
Administrative and support and waste management and remediation services,24970,639056,20999069
"Agriculture, forestry, fishing and hunting",651,11108,341764
"Arts, entertainment, and recreation",16174,186486,10725193
Construction,35746,331502,17107508
Educational services,7416,229091,7854915
Finance and insurance,29649,340949,30609840
Health care and social assistance,62481,1013703,50375861
Industries not classified,594,403,16463
Information,14181,298193,25762640
Management of companies and enterprises,2934,165793,15429246
Manufacturing,25224,743155,40716732
"Mining, quarrying, and oil and gas extraction",533,13885,1323523
Other services (except public administration),41164,328963,9256539
"Professional, scientific, and technical services",68523,653764,48351570
Real estate and rental and leasing,30008,177535,9071457
Retail trade,62744,920302,25563565
Transportation and warehousing,13283,288369,13025044
Utilities,706,7122,601899
Wholesale trade,42027,503391,31533085
2013,,,
Total for all sectors,530382,7968261,391036465
Accommodation and food services,45644,880819,16652057
Administrative and support and waste management and remediation services,25319,691818,22450217
"Agriculture, forestry, fishing and hunting",637,9499,303125
"Arts, entertainment, and recreation",16603,193550,10611225
Construction,36029,354567,18690277
Educational services,7629,232425,8143677
Finance and insurance,29644,343479,31935147
Health care and social assistance,63523,1043554,51827816
Industries not classified,962,425,29198
Information,14233,330031,26339980
Management of companies and enterprises,3030,164801,15180640
Manufacturing,24791,751817,42377225
"Mining, quarrying, and oil and gas extraction",540,16669,1652128
Other services (except public administration),41281,329365,9388373
"Professional, scientific, and technical services",70179,645488,50353306
Real estate and rental and leasing,31059,180261,9520838
Retail trade,63137,952994,26433964
Transportation and warehousing,13366,291575,13381528
Utilities,728,6934,609011
Wholesale trade,42048,516007,31955121
2014,,,
Total for all sectors,540867,8204662,409118379
Accommodation and food services,46717,924692,18022994
Administrative and support and waste management and remediation services,25564,679929,22559346
"Agriculture, forestry, fishing and hunting",617,9044,307067
"Arts, entertainment, and recreation",17528,208904,11771391
Construction,36864,373256,20047139
Educational services,7849,235013,8589736
Finance and insurance,29810,340951,33454821
Health care and social assistance,64664,1060288,54008230
Industries not classified,1422,742,47193
Information,14594,366635,26169651
Management of companies and enterprises,3096,164103,15669563
Manufacturing,24831,744155,42623122
"Mining, quarrying, and oil and gas extraction",554,17236,1596863
Other services (except public administration),42012,338777,9897158
"Professional, scientific, and technical services",72195,721769,54664281
Real estate and rental and leasing,31839,182324,10329678
Retail trade,63692,984645,28108289
Transportation and warehousing,13910,300328,14471781
Utilities,758,6819,620478
Wholesale trade,42351,513294,33097482
2015,,,
Total for all sectors,552895,8405890,431723282
Accommodation and food services,47917,971016,19927769
Administrative and support and waste management and remediation services,25919,672422,23682954
"Agriculture, forestry, fishing and hunting",638,8866,317637
"Arts, entertainment, and recreation",18549,218652,12539275
Construction,38084,394423,22425355
Educational services,8007,240375,8998703
Finance and insurance,30122,344124,34723295
Health care and social assistance,66498,1097849,57123587
Industries not classified,1761,2182,61279
Information,15026,379408,27430354
Management of companies and enterprises,3146,166259,16163304
Manufacturing,24885,749347,43714586
"Mining, quarrying, and oil and gas extraction",543,15995,1378030
Other services (except public administration),42658,341784,10489714
"Professional, scientific, and technical services",73808,734960,58089759
Real estate and rental and leasing,32926,184821,10883265
Retail trade,64477,1011284,29695300
Transportation and warehousing,14725,316555,15715914
Utilities,769,32275,3488651
Wholesale trade,42437,522701,34828587
